gameId,blueFirstBlood,blueKills,blueDeaths,blueAssists,blueEliteMonsters,blueDragons,blueTotalGold,blueTotalExperience,blueWins
0,0,7,9,8,1,1,17398,17446,0
1,1,8,10,8,0,0,15925,14253,1
2,1,14,6,15,0,0,21457,19003,1
3,1,6,3,4,1,1,16364,17958,1
4,1,3,6,3,1,1,15451,16088,0
5,1,14,6,14,1,1,21344,18893,1
6,0,3,6,3,0,0,16091,16404,0
7,1,2,1,0,0,0,16108,17362,0
8,0,3,4,4,0,0,15991,15908,0
9,1,7,3,8,2,1,17340,18024,0
10,0,8,5,8,0,0,17478,17343,0
11,0,5,2,7,0,0,16098,17406,0
12,0,3,7,7,0,0,14720,14318,0
13,0,14,4,11,1,0,21401,18264,1
14,0,10,9,8,0,0,18822,17861,1
15,0,6,7,3,0,0,18771,17880,1
16,0,6,8,4,1,1,17544,17200,0
17,0,4,9,3,0,0,16232,17339,0
18,1,5,10,6,0,0,15913,15883,0
19,1,4,5,7,0,0,16304,16246,0
20,0,8,3,5,1,1,18808,17953,1
21,1,8,1,11,1,1,17507,18240,1
22,0,4,4,5,0,0,15811,15864,1
23,1,9,3,9,1,1,18765,17986,1
24,0,4,6,3,1,0,16258,17249,1
25,0,10,9,12,0,0,18846,17983,1
26,0,3,5,7,1,0,14689,14374,0
27,0,9,3,2,1,1,18734,18671,1
28,1,6,5,5,1,1,16111,14193,0
29,1,6,8,6,1,1,16238,18008,0
30,0,1,7,2,0,0,15149,17315,0
31,0,6,8,11,0,0,18700,18181,0
32,1,11,3,10,1,0,18829,18400,1
33,1,8,2,9,0,0,18665,18857,1
34,0,2,4,0,0,0,15092,15937,0
35,1,10,7,13,1,1,18759,17836,1
36,1,11,7,10,1,0,18871,18958,1
37,0,11,3,16,1,0,21299,17983,1
38,1,5,6,3,0,0,15917,15913,1
39,1,11,9,10,2,1,18469,18099,1
40,1,10,3,10,2,1,18680,18752,1
41,0,4,2,4,0,0,16327,17233,1
42,1,13,6,14,0,0,18896,17092,0
43,0,4,8,5,0,0,16367,17116,0
44,1,5,7,4,1,1,16223,18034,0
45,1,9,6,11,0,0,18699,18027,1
46,1,4,9,2,1,1,15957,15877,0
47,0,6,6,8,0,0,16243,16245,0
48,0,7,4,8,1,1,17440,18404,1
49,0,5,6,3,1,1,16162,16249,0
50,1,11,1,11,0,0,18876,18494,1
51,1,6,3,8,1,0,16171,16063,1
52,1,3,7,15,0,0,21318,19008,1
53,0,1,8,1,0,0,14813,14270,0
54,0,5,6,5,0,0,17519,17394,0
55,0,4,4,4,1,0,16184,17310,0
56,1,11,5,10,1,1,18884,17876,1
57,1,8,9,11,1,0,18571,18063,1
58,0,1,10,1,0,0,14885,14392,0
59,1,8,6,9,0,0,17473,18106,1
60,0,4,8,2,0,0,15912,16048,0
61,0,4,4,5,0,0,15851,16024,0
62,0,5,8,4,0,0,16283,17133,0
63,1,8,9,10,1,1,17386,17280,0
64,0,2,7,2,1,0,15608,17314,0
65,1,5,8,9,0,0,17132,17907,1
66,0,3,13,2,0,0,14521,14340,0
67,1,10,3,8,1,1,18797,17295,1
68,1,8,5,8,1,0,18922,17978,1
69,1,5,4,3,1,1,16175,15817,0
70,0,7,6,8,0,0,17457,18697,0
71,1,2,5,3,0,0,16197,17431,0
72,1,2,4,1,1,0,16233,17958,1
73,1,2,2,3,0,0,15326,16209,0
74,1,10,3,10,1,1,21039,18026,1
75,0,2,14,4,0,0,14957,14330,0
76,0,4,6,5,0,0,16148,17117,0
77,0,5,6,4,0,0,16350,18043,1
78,1,10,10,10,1,1,18721,17084,1
79,1,6,7,8,0,0,17422,17261,0
80,0,5,4,3,0,0,16086,16203,0
81,0,9,9,9,1,1,17422,17281,0
82,0,2,6,2,0,0,15334,16195,0
83,1,4,6,3,0,0,17150,17992,1
84,1,4,3,6,1,0,16127,17337,0
85,0,6,7,4,0,0,17441,17459,1
86,1,7,5,6,0,0,17046,18258,1
87,1,9,4,6,1,1,18836,18444,1
88,1,4,7,4,1,0,15872,16278,0
89,0,6,8,6,0,0,17356,18374,1
90,1,7,4,8,0,0,16278,17162,1
91,0,8,4,9,0,0,17479,17011,0
92,0,6,6,4,0,0,17367,17036,1
93,0,8,6,9,0,0,17505,16992,0
94,0,10,3,10,2,1,18734,18863,1
95,1,13,7,8,0,0,21076,18361,1
96,0,6,8,7,1,0,15942,17020,1
97,1,9,1,12,0,0,18762,18472,1
98,1,3,5,4,0,0,16028,15987,0
99,0,5,4,7,1,1,16142,16001,0
100,0,7,5,5,1,1,17423,18702,1
101,1,4,8,4,0,0,16089,16178,0
102,0,2,7,1,1,0,15205,16216,0
103,1,10,8,7,1,1,18822,18625,1
104,0,2,2,3,0,0,15423,17401,0
105,0,9,4,13,1,1,18804,18465,1
106,1,10,8,11,1,0,18820,18019,1
107,0,5,1,5,1,1,16157,18061,0
108,1,8,9,9,0,0,18940,17919,1
109,0,1,9,2,1,0,16067,16280,0
110,0,1,9,2,0,0,15940,16046,1
111,0,5,8,3,0,0,16317,18006,0
112,1,9,4,10,1,1,17275,18069,1
113,1,11,3,14,1,1,18798,18307,1
114,1,10,7,8,1,1,18624,18819,1
115,1,7,8,9,0,0,17176,17007,0
116,0,1,4,2,0,0,15201,17177,1
117,1,5,4,4,0,0,17219,17307,0
118,0,5,9,3,0,0,16213,16996,0
119,1,8,9,8,0,0,17526,15912,0
120,0,4,5,3,0,0,16334,18064,1
121,1,4,1,4,1,1,16306,18086,1
122,0,6,8,9,0,0,16189,16194,0
123,0,4,9,5,1,1,17253,17387,0
124,1,5,2,4,1,1,16146,18051,1
125,0,7,9,9,1,1,17293,17351,1
126,0,7,7,3,2,1,17035,17966,0
127,0,4,3,6,0,0,16289,18077,1
128,0,5,7,4,0,0,17233,17379,0
129,1,7,7,7,1,1,17332,17863,0
130,1,5,8,4,0,0,16159,16230,0
131,0,4,2,5,1,0,16161,18178,1
132,1,2,2,2,1,1,16281,17879,0
133,0,2,4,0,0,0,14721,14293,1
134,1,11,4,10,1,0,18795,18198,1
135,1,4,6,5,0,0,17350,17378,0
136,0,4,4,8,1,1,16320,18002,0
137,1,9,9,9,0,0,16027,16224,0
138,1,7,3,8,2,1,16192,17034,0
139,1,8,5,8,0,0,17279,17844,1
140,0,8,5,5,0,0,17425,18637,1
141,0,6,10,5,0,0,16310,18136,0
142,1,7,5,5,0,0,17390,17982,0
143,1,8,1,9,0,0,18781,18745,1
144,1,9,7,4,0,0,15816,15919,0
145,1,4,5,7,1,1,17171,18177,1
146,1,14,3,15,1,1,21259,19035,1
147,0,11,12,12,0,0,18680,18271,1
148,0,5,4,7,1,0,16026,16195,1
149,1,6,7,5,0,0,15900,14321,0
150,1,8,7,10,1,1,17297,17193,0
151,1,14,3,15,1,1,21318,19098,1
152,1,14,3,15,1,1,21240,18498,1
153,1,14,5,14,1,1,21290,19273,1
154,1,5,3,6,0,0,16299,17350,0
155,0,5,4,5,0,0,16120,16274,0
156,1,4,4,7,1,1,16194,17113,1
157,1,10,7,9,1,1,18594,18584,1
158,0,5,6,4,1,1,16050,17293,0
159,1,4,4,4,1,1,17379,17940,1
160,1,5,5,3,1,1,17442,18107,1
161,0,10,10,5,2,1,18645,17962,1
162,0,8,8,6,0,0,17481,18057,0
163,0,7,6,6,1,0,17347,17288,0
164,1,9,8,6,0,0,17461,17301,0
165,1,13,3,13,1,1,21247,19044,1
166,0,8,3,7,0,0,18630,17831,1
167,1,10,3,10,1,1,18776,18213,1
168,1,5,4,5,0,0,15946,16151,0
169,0,3,7,3,0,0,16273,16032,0
170,1,7,8,8,2,1,17131,17041,0
171,0,10,3,10,2,1,18629,18636,1
172,1,9,7,10,0,0,17343,17961,1
173,0,4,6,3,0,0,16235,17108,0
174,0,3,7,3,0,0,16324,16978,0
175,0,8,12,7,0,0,17287,16247,0
176,1,8,8,7,0,0,18636,18120,1
177,0,3,4,2,0,0,15391,17042,0
178,1,5,5,3,1,1,16268,17444,1
179,0,9,3,8,1,0,18698,17984,1
180,0,10,3,13,1,0,21242,18027,1
181,0,7,6,8,0,0,17502,18075,1
182,0,5,6,6,0,0,16218,16270,1
183,0,2,5,0,0,0,14911,14336,0
184,0,10,9,13,1,1,18710,17137,1
185,1,7,4,7,1,0,17360,18081,1
186,0,3,9,4,0,0,16351,17351,0
187,1,8,5,7,0,0,17482,17212,0
188,1,7,4,6,0,0,18535,17396,1
189,0,3,4,5,1,0,16366,17378,0
190,0,5,8,6,0,0,17315,18416,1
191,0,5,9,5,0,0,16109,16260,0
192,1,5,6,3,1,0,17419,18654,1
193,0,1,8,1,1,1,15130,15883,0
194,0,5,5,5,0,0,16358,17329,0
195,0,2,5,3,1,0,16191,17998,0
196,0,4,5,3,1,1,16320,17131,0
197,0,2,5,3,0,0,15259,15893,0
198,1,3,7,3,0,0,15474,17029,0
199,0,10,12,10,1,0,18841,18780,1
200,0,5,9,6,0,0,16291,17136,1
201,1,2,9,0,0,0,14344,14429,1
202,1,13,3,15,0,0,21328,19127,1
203,0,7,3,4,0,0,17391,18388,1
204,0,4,3,3,2,1,16312,18114,1
205,1,8,5,11,1,0,18670,18161,1
206,0,3,10,2,0,0,15785,14245,0
207,0,5,3,6,1,1,16352,17338,0
208,1,8,6,7,1,0,17420,17312,1
209,0,6,6,4,0,0,17253,18159,1
210,0,2,13,2,0,0,14961,15865,0
211,0,5,3,5,0,0,16143,16241,1
212,1,8,2,5,2,1,17399,18307,1
213,1,4,7,7,0,0,16275,17345,1
214,1,13,6,16,1,1,21268,17945,0
215,0,4,3,2,1,1,15240,15844,1
216,1,5,7,6,0,0,16091,16274,1
217,1,11,8,10,0,0,18787,18080,1
218,0,10,12,6,1,1,18597,18097,1
219,0,6,5,5,0,0,17423,18046,1
220,0,3,9,3,0,0,15999,16031,0
221,0,8,5,8,1,0,18843,18262,1
222,1,8,9,7,0,0,17362,17911,1
223,1,4,7,4,1,0,16024,17138,0
224,1,7,9,8,1,1,17291,18303,1
225,0,5,3,4,0,0,17476,18223,0
226,0,4,3,3,0,0,16420,18069,0
227,0,9,1,11,1,1,17472,18091,1
228,0,4,5,5,0,0,15911,16238,0
229,1,6,4,8,1,1,16088,16222,0
230,0,5,3,6,2,1,16170,18032,0
231,0,5,7,5,0,0,16128,14422,0
232,1,11,6,10,2,1,18750,18369,1
233,1,6,6,6,2,1,17357,17387,0
234,1,13,5,10,0,0,18800,17884,0
235,0,1,4,1,0,0,15451,17052,0
236,1,12,2,11,2,1,18705,18456,1
237,0,10,5,9,1,1,18604,18331,1
238,0,2,3,2,0,0,15260,16029,0
239,1,11,7,8,1,1,18721,18616,1
240,0,4,4,6,0,0,16344,17285,0
241,0,4,7,9,1,1,15408,16131,1
242,0,10,10,8,0,0,17122,15928,1
243,1,8,3,11,1,1,18805,17019,1
244,1,6,4,5,0,0,17336,18249,1
245,1,4,4,5,0,0,16353,17420,0
246,0,7,5,5,0,0,17510,17337,0
247,0,2,3,0,0,0,15403,17345,0
248,0,2,7,2,0,0,15328,16143,0
249,0,3,7,1,0,0,15155,16079,0
250,1,7,2,6,1,1,17269,16244,1
251,0,5,4,7,1,1,16244,17290,1
252,0,5,7,5,0,0,16248,16302,0
253,1,2,5,2,0,0,16275,18152,0
254,0,4,7,4,1,1,16284,17420,0
255,1,10,8,15,1,0,21305,19012,1
256,0,1,4,1,0,0,16321,18035,0
257,1,5,7,5,1,0,17193,18039,0
258,1,8,9,9,0,0,17443,17096,0
259,0,6,9,11,1,1,16256,15825,0
260,1,6,4,4,1,0,16239,17166,0
261,0,4,6,7,0,0,18546,18091,0
262,1,7,1,7,1,1,17173,18030,1
263,1,7,5,6,0,0,17483,18335,1
264,0,5,10,3,0,0,16213,17046,1
265,1,6,4,7,1,1,17224,17325,1
266,1,13,4,15,2,1,21109,19064,1
267,1,9,4,11,1,1,17476,18413,1
268,1,8,2,8,1,1,17470,18418,1
269,1,4,2,4,2,1,16366,17160,0
270,0,5,10,6,1,0,16292,16315,0
271,0,8,6,11,1,1,17563,17935,1
272,1,6,8,4,0,0,17347,18112,0
273,1,7,3,8,1,1,17296,17295,1
274,1,7,6,11,0,0,17196,17431,0
275,0,9,6,6,0,0,18776,18022,1
276,1,5,6,6,0,0,16066,16209,0
277,1,8,9,10,1,1,17386,16197,0
278,0,2,10,7,0,0,14366,14367,0
279,1,5,5,2,1,1,16206,18115,1
280,1,7,3,6,0,0,17477,17319,1
281,0,1,13,0,0,0,14771,14286,0
282,0,1,5,0,0,0,15092,17223,0
283,0,5,7,5,0,0,16718,17093,0
284,1,6,9,8,1,1,17309,17055,0
285,0,5,3,4,1,1,16087,18127,1
286,1,12,8,16,0,0,21322,17980,1
